"","ORG_CODE","SEX","AGE","POP","abs_pop"
"533","P81125","MALE","56",-75,75
"534","P81125","MALE","57",-77,77
"535","P81125","MALE","58",-66,66
"536","P81125","MALE","59",-56,56
"537","P81125","MALE","6",-62,62
"538","P81125","MALE","60",-71,71
"539","P81125","MALE","61",-63,63
"540","P81125","MALE","62",-61,61
"541","P81125","MALE","63",-59,59
"542","P81125","MALE","64",-63,63
"543","P81125","MALE","65",-58,58
"544","P81125","MALE","66",-64,64
"545","P81125","MALE","67",-51,51
"546","P81125","MALE","68",-48,48
"547","P81125","MALE","69",-55,55
"548","P81125","MALE","7",-63,63
"549","P81125","MALE","70",-55,55
"550","P81125","MALE","71",-63,63
"551","P81125","MALE","72",-56,56
"552","P81125","MALE","73",-56,56
"553","P81125","MALE","74",-39,39
"554","P81125","MALE","75",-41,41
"555","P81125","MALE","76",-34,34
"556","P81125","MALE","77",-42,42
"557","P81125","MALE","78",-37,37
"558","P81125","MALE","79",-44,44
"559","P81125","MALE","8",-67,67
"560","P81125","MALE","80",-26,26
"561","P81125","MALE","81",-33,33
"562","P81125","MALE","82",-21,21
"563","P81125","MALE","83",-24,24
"564","P81125","MALE","84",-17,17
"565","P81125","MALE","85",-16,16
"566","P81125","MALE","86",-16,16
"567","P81125","MALE","87",-7,7
"568","P81125","MALE","88",-15,15
"569","P81125","MALE","89",-10,10
"570","P81125","MALE","9",-68,68
"571","P81125","MALE","90",-5,5
"572","P81125","MALE","91",-8,8
"573","P81125","MALE","92",-3,3
"574","P81125","MALE","93",-4,4
"575","P81125","MALE","94",-2,2
"576","P81125","MALE","95+",-14,14
"577","P81140","MALE","0",-69,69
"578","P81140","MALE","1",-93,93
"579","P81140","MALE","10",-101,101
"580","P81140","MALE","11",-98,98
"581","P81140","MALE","12",-115,115
"582","P81140","MALE","13",-92,92
"583","P81140","MALE","14",-98,98
"584","P81140","MALE","15",-93,93
"585","P81140","MALE","16",-105,105
"586","P81140","MALE","17",-96,96
"587","P81140","MALE","18",-101,101
"588","P81140","MALE","19",-101,101
"589","P81140","MALE","2",-84,84
"590","P81140","MALE","20",-77,77
"591","P81140","MALE","21",-80,80
"592","P81140","MALE","22",-95,95
"593","P81140","MALE","23",-114,114
"594","P81140","MALE","24",-96,96
"595","P81140","MALE","25",-93,93
"596","P81140","MALE","26",-111,111
"597","P81140","MALE","27",-92,92
"598","P81140","MALE","28",-134,134
"599","P81140","MALE","29",-131,131
"600","P81140","MALE","3",-104,104
"601","P81140","MALE","30",-110,110
"602","P81140","MALE","31",-121,121
"603","P81140","MALE","32",-126,126
"604","P81140","MALE","33",-115,115
"605","P81140","MALE","34",-118,118
"606","P81140","MALE","35",-124,124
"607","P81140","MALE","36",-113,113
"608","P81140","MALE","37",-107,107
"609","P81140","MALE","38",-114,114
"610","P81140","MALE","39",-107,107
"611","P81140","MALE","4",-108,108
"612","P81140","MALE","40",-100,100
"613","P81140","MALE","41",-97,97
"614","P81140","MALE","42",-109,109
"615","P81140","MALE","43",-110,110
"616","P81140","MALE","44",-105,105
"617","P81140","MALE","45",-113,113
"618","P81140","MALE","46",-105,105
"619","P81140","MALE","47",-124,124
"620","P81140","MALE","48",-134,134
"621","P81140","MALE","49",-138,138
"622","P81140","MALE","5",-95,95
"623","P81140","MALE","50",-129,129
"624","P81140","MALE","51",-150,150
"625","P81140","MALE","52",-128,128
"626","P81140","MALE","53",-137,137
"627","P81140","MALE","54",-140,140
"628","P81140","MALE","55",-120,120
"629","P81140","MALE","56",-105,105
"630","P81140","MALE","57",-122,122
"631","P81140","MALE","58",-123,123
"632","P81140","MALE","59",-117,117
"633","P81140","MALE","6",-94,94
"634","P81140","MALE","60",-111,111
"635","P81140","MALE","61",-91,91
"636","P81140","MALE","62",-94,94
"637","P81140","MALE","63",-94,94
"638","P81140","MALE","64",-91,91
"639","P81140","MALE","65",-96,96
"640","P81140","MALE","66",-88,88
"641","P81140","MALE","67",-83,83
"642","P81140","MALE","68",-93,93
"643","P81140","MALE","69",-77,77
"644","P81140","MALE","7",-127,127
"645","P81140","MALE","70",-76,76
"646","P81140","MALE","71",-100,100
"647","P81140","MALE","72",-102,102
"648","P81140","MALE","73",-76,76
"649","P81140","MALE","74",-68,68
"650","P81140","MALE","75",-67,67
"651","P81140","MALE","76",-67,67
"652","P81140","MALE","77",-60,60
"653","P81140","MALE","78",-51,51
"654","P81140","MALE","79",-38,38
"655","P81140","MALE","8",-103,103
"656","P81140","MALE","80",-28,28
"657","P81140","MALE","81",-49,49
"658","P81140","MALE","82",-24,24
"659","P81140","MALE","83",-28,28
"660","P81140","MALE","84",-34,34
"661","P81140","MALE","85",-20,20
"662","P81140","MALE","86",-18,18
"663","P81140","MALE","87",-24,24
"664","P81140","MALE","88",-9,9
"665","P81140","MALE","89",-8,8
"666","P81140","MALE","9",-93,93
"667","P81140","MALE","90",-12,12
"668","P81140","MALE","91",-6,6
"669","P81140","MALE","92",-6,6
"670","P81140","MALE","93",-2,2
"671","P81140","MALE","94",-3,3
